TimeUS,gpSA,gpHA,gpVA
 236930854, 0.323, 1.35, 2.267
 237131048, 0.282, 1.348, 2.267
 237312102, 0.3, 1.345, 2.264
 237512306, 0.36, 1.344, 2.268
 237712118, 0.334, 1.343, 2.271
 237912287, 0.31, 1.341, 2.271
 238112121, 0.327, 1.339, 2.271
 238312558, 0.304, 1.339, 2.271
 238512522, 0.338, 1.339, 2.274
 238712552, 0.27, 1.337, 2.274
 238932105, 0.347, 1.336, 2.275
 239132322, 0.259, 1.334, 2.269
 239312686, 0.266, 1.332, 2.267
 239512608, 0.357, 1.333, 2.268
 239712545, 0.353, 1.335, 2.267
 239912520, 0.382, 1.338, 2.271
 240112610, 0.309, 1.34, 2.274
 240312514, 0.349, 1.342, 2.277
 240512832, 0.32, 1.344, 2.28
 240712940, 0.292, 1.344, 2.28
 240912844, 0.329, 1.345, 2.282
 241113226, 0.281, 1.344, 2.279
 241312882, 0.29, 1.342, 2.276
 241513220, 0.316, 1.341, 2.277
 241713218, 0.285, 1.339, 2.274
 241913217, 0.311, 1.336, 2.272
 242113349, 0.294, 1.335, 2.27
 242313200, 0.271, 1.333, 2.266
 242513208, 0.332, 1.332, 2.266
 242713227, 0.31, 1.332, 2.264
 242933205, 0.355, 1.332, 2.264
 243113237, 0.318, 1.332, 2.262
 243313216, 0.27, 1.331, 2.259
 243513508, 0.296, 1.331, 2.258
 243716271, 0.277, 1.33, 2.255
 243919234, 0.306, 1.328, 2.255
 244119196, 0.289, 1.327, 2.252
 244318929, 0.323, 1.326, 2.25
 244518845, 0.323, 1.325, 2.248
 244718848, 0.331, 1.325, 2.247
 244918833, 0.367, 1.326, 2.251
 245119002, 0.332, 1.326, 2.252
 245318872, 0.33, 1.326, 2.25
 245518828, 0.339, 1.326, 2.247
 245718854, 0.302, 1.325, 2.241
 245918840, 0.421, 1.327, 2.244
 246118848, 0.376, 1.328, 2.244
 246318840, 0.436, 1.328, 2.245
 246518837, 0.386, 1.33, 2.247
 246718844, 0.293, 1.33, 2.242
 246918988, 0.328, 1.331, 2.246
 247118850, 0.301, 1.331, 2.246
 247318823, 0.316, 1.33, 2.246
 247518950, 0.33, 1.33, 2.247
 247718838, 0.304, 1.329, 2.242
 247918841, 0.322, 1.329, 2.242
 248118843, 0.291, 1.328, 2.239
 248318827, 0.305, 1.326, 2.237
 248518964, 0.326, 1.326, 2.238
 248718996, 0.32, 1.325, 2.239
 248939596, 0.325, 1.325, 2.24
 249118856, 0.347, 1.326, 2.242
 249318837, 0.328, 1.326, 2.243
 249518842, 0.365, 1.328, 2.246
 249718845, 0.318, 1.327, 2.246
 249918836, 0.345, 1.328, 2.248
 250118946, 0.342, 1.329, 2.252
 250299114, 0.318, 1.329, 2.252
 250518968, 0.255, 1.327, 2.249
 250718840, 0.28, 1.324, 2.246
 250919204, 0.341, 1.324, 2.248
 251119548, 0.304, 1.324, 2.248
 251322519, 0.301, 1.322, 2.248
 251522517, 0.317, 1.321, 2.251
 251722611, 0.278, 1.319, 2.252
 251922541, 0.331, 1.318, 2.255
 252122515, 0.272, 1.317, 2.255
 252302068, 0.353, 1.315, 2.255
 252502072, 0.28, 1.314, 2.253
 252702562, 0.369, 1.312, 2.252
 252902326, 0.301, 1.311, 2.252
 253122803, 0.278, 1.31, 2.254
 253302322, 0.267, 1.309, 2.254
 253522678, 0.328, 1.308, 2.256
 253723024, 0.376, 1.308, 2.256
 253922995, 0.357, 1.31, 2.261
 254123042, 0.29, 1.311, 2.258
 254323239, 0.314, 1.31, 2.254
 254523060, 0.359, 1.31, 2.255
 254723011, 0.364, 1.311, 2.254
 254923234, 0.434, 1.314, 2.259
 255123116, 0.394, 1.317, 2.264
 255302735, 0.394, 1.32, 2.269
 255502870, 0.398, 1.323, 2.274
 255702732, 0.388, 1.325, 2.277
 255923223, 0.363, 1.327, 2.279
 256123246, 0.378, 1.329, 2.284
 256302877, 0.373, 1.331, 2.289
 256502730, 0.375, 1.333, 2.294
 256722994, 0.369, 1.336, 2.3
 256923047, 0.406, 1.34, 2.309
 257123032, 0.37, 1.344, 2.316
 257323029, 0.355, 1.346, 2.319
 257523040, 0.343, 1.349, 2.322
 257723029, 0.286, 1.348, 2.318
 257923218, 0.372, 1.349, 2.32
 258123077, 0.322, 1.351, 2.321
 258323007, 0.421, 1.353, 2.324
 258523019, 0.328, 1.356, 2.324
 258723042, 0.339, 1.355, 2.319
 258942721, 0.291, 1.353, 2.315
 259123220, 0.408, 1.354, 2.316
 259323071, 0.348, 1.354, 2.313
 259523013, 0.352, 1.353, 2.311
 259723232, 0.343, 1.352, 2.309
 259923013, 0.339, 1.352, 2.31
 260123225, 0.322, 1.352, 2.309
 260323009, 0.3, 1.352, 2.308
 260523006, 0.271, 1.35, 2.306
 260723007, 0.277, 1.347, 2.301
 260942768, 0.303, 1.345, 2.3
 261123031, 0.293, 1.343, 2.298
 261323075, 0.336, 1.342, 2.297
 261523214, 0.228, 1.34, 2.289
 261723025, 0.275, 1.337, 2.283
 261923066, 0.319, 1.337, 2.283
 262123031, 0.324, 1.337, 2.278
 262323005, 0.309, 1.336, 2.276
 262523048, 0.327, 1.335, 2.275
 262723075, 0.309, 1.333, 2.27
 262923081, 0.347, 1.333, 2.271
 263123502, 0.369, 1.333, 2.272
 263303479, 0.408, 1.334, 2.273
 263523482, 0.333, 1.335, 2.276
 263723473, 0.373, 1.336, 2.277
 263903609, 0.359, 1.337, 2.281
 264123879, 0.332, 1.339, 2.283
 264303876, 0.403, 1.341, 2.286
 264524548, 0.4, 1.344, 2.291
 264704219, 0.429, 1.347, 2.295
 264904195, 0.416, 1.351, 2.301
 265104222, 0.482, 1.357, 2.31
 265324570, 0.429, 1.363, 2.317
 265504204, 0.405, 1.367, 2.324
 265724780, 0.342, 1.369, 2.327
 265904514, 0.388, 1.371, 2.33
 266104543, 0.432, 1.372, 2.331
 266304780, 0.437, 1.373, 2.333
 266504776, 0.352, 1.375, 2.334
 266725062, 0.336, 1.376, 2.334
 266925303, 0.339, 1.377, 2.334
 267125082, 0.325, 1.378, 2.334
 267325048, 0.352, 1.379, 2.335
 267525444, 0.281, 1.379, 2.328
 267725026, 0.285, 1.377, 2.321
 267925044, 0.465, 1.381, 2.328
 268125205, 0.276, 1.381, 2.317
 268325055, 0.266, 1.375, 2.309
 268504766, 0.281, 1.373, 2.308
 268725327, 0.256, 1.369, 2.304
 268925255, 0.309, 1.366, 2.303
 269125242, 0.332, 1.365, 2.305
 269325259, 0.376, 1.363, 2.304
 269525243, 0.283, 1.362, 2.305
 269725230, 0.291, 1.358, 2.3
 269925240, 0.398, 1.357, 2.303
 270125267, 0.307, 1.357, 2.305
 270325220, 0.303, 1.357, 2.307
 270525465, 0.317, 1.357, 2.307
 270725276, 0.293, 1.355, 2.307
 270905247, 0.398, 1.355, 2.309
 271105274, 0.305, 1.355, 2.307
 271325235, 0.356, 1.353, 2.302
 271525272, 0.331, 1.352, 2.297
 271725395, 0.307, 1.35, 2.286
 271925253, 0.279, 1.35, 2.283
 272125256, 0.328, 1.348, 2.275
 272325474, 0.296, 1.348, 2.268
 272525251, 0.363, 1.346, 2.263
 272725375, 0.331, 1.344, 2.258
 272925249, 0.392, 1.345, 2.256
 273105264, 0.293, 1.345, 2.251
 273305237, 0.296, 1.344, 2.247
 273505244, 0.307, 1.345, 2.248
 273705256, 0.314, 1.346, 2.25
 273905238, 0.322, 1.347, 2.252
 274105654, 0.326, 1.349, 2.254
 274308501, 0.347, 1.352, 2.258
 274508844, 0.377, 1.355, 2.261
 274708564, 0.379, 1.357, 2.263
 274908464, 0.383, 1.36, 2.267
 275128479, 0.308, 1.362, 2.269
 275328465, 0.323, 1.363, 2.272
 275508606, 0.353, 1.365, 2.275
 275728470, 0.337, 1.368, 2.276
 275928589, 0.371, 1.371, 2.279
 276108482, 0.306, 1.373, 2.279
 276308616, 0.374, 1.375, 2.284
 276511501, 0.375, 1.378, 2.289
 276714638, 0.338, 1.38, 2.292
 276914217, 0.308, 1.381, 2.294
 277114617, 0.354, 1.381, 2.294
 277314568, 0.371, 1.38, 2.294
 277514597, 0.354, 1.38, 2.296
 277714770, 0.334, 1.38, 2.297
 277914246, 0.349, 1.38, 2.298
 278114222, 0.356, 1.381, 2.301
 278314196, 0.351, 1.382, 2.304
 278514347, 0.298, 1.382, 2.305
 278714537, 0.356, 1.381, 2.305
 278934511, 0.329, 1.38, 2.304
 279114543, 0.291, 1.377, 2.301
 279314518, 0.293, 1.374, 2.293
 279514808, 0.283, 1.371, 2.292
 279714840, 0.324, 1.368, 2.291
 279914800, 0.378, 1.366, 2.289
 280114848, 0.338, 1.362, 2.283
 280314967, 0.344, 1.362, 2.285
 280517487, 0.394, 1.364, 2.286
