TimeUS,gpSA,gpHA,gpVA
 326746058, 0.492, 1.272, 1.855
 326946015, 0.45, 1.271, 1.858
 327146021, 0.45, 1.272, 1.861
 327346083, 0.403, 1.27, 1.855
 327546046, 0.429, 1.27, 1.856
 327767678, 0.416, 1.271, 1.86
 327967630, 0.435, 1.27, 1.863
 328146053, 0.496, 1.271, 1.871
 328346097, 0.465, 1.271, 1.879
 328567635, 0.488, 1.267, 1.885
 328767782, 0.464, 1.266, 1.888
 328967638, 0.46, 1.266, 1.889
 329167660, 0.458, 1.266, 1.891
 329367692, 0.44, 1.266, 1.892
 329546050, 0.527, 1.271, 1.901
 329746074, 0.45, 1.274, 1.908
 329946062, 0.427, 1.274, 1.913
 330146233, 0.479, 1.274, 1.921
 330346080, 0.443, 1.272, 1.926
 330567665, 0.399, 1.269, 1.921
 330746034, 0.385, 1.261, 1.914
 330946055, 0.374, 1.254, 1.907
 331167621, 0.373, 1.251, 1.898
 331367677, 0.316, 1.242, 1.852
 331567674, 0.357, 1.237, 1.842
 331767855, 0.365, 1.229, 1.831
 331967660, 0.376, 1.227, 1.824
 332167652, 0.327, 1.224, 1.798
 332367680, 0.313, 1.219, 1.786
 332567634, 0.228, 1.211, 1.771
 332746043, 0.327, 1.201, 1.755
 332946044, 0.268, 1.192, 1.74
 333146050, 0.314, 1.184, 1.73
 333346064, 0.302, 1.177, 1.72
 333546239, 0.335, 1.17, 1.71
 333746072, 0.271, 1.163, 1.7
 333967767, 0.338, 1.157, 1.691
 334167633, 0.268, 1.15, 1.682
 334346043, 0.312, 1.144, 1.672
 334567617, 0.343, 1.137, 1.663
 334767650, 0.304, 1.131, 1.654
 334967600, 0.325, 1.126, 1.647
 335167602, 0.306, 1.121, 1.64
 335367778, 0.279, 1.115, 1.633
 335567589, 0.258, 1.11, 1.626
 335766599, 0.31, 1.104, 1.619
 335966853, 0.336, 1.098, 1.612
 336145915, 0.263, 1.093, 1.607
 336366630, 0.305, 1.088, 1.602
 336566575, 0.273, 1.083, 1.596
 336766636, 0.306, 1.079, 1.591
 336966591, 0.253, 1.075, 1.585
 337166886, 0.281, 1.071, 1.58
 337366618, 0.268, 1.067, 1.574
 337545940, 0.317, 1.063, 1.569
 337766614, 0.297, 1.06, 1.564
 337966591, 0.332, 1.056, 1.56
 338166705, 0.3, 1.054, 1.556
 338366623, 0.281, 1.051, 1.553
 338566590, 0.285, 1.048, 1.549
 338745946, 0.309, 1.045, 1.545
 338966748, 0.323, 1.042, 1.541
 339166595, 0.335, 1.039, 1.538
 339366612, 0.344, 1.036, 1.535
 339545898, 0.32, 1.033, 1.533
 339745903, 0.298, 1.031, 1.53
 339945913, 0.333, 1.028, 1.527
 340166584, 0.304, 1.026, 1.524
 340366609, 0.283, 1.023, 1.521
 340567031, 0.318, 1.021, 1.518
 340767249, 0.338, 1.019, 1.515
 340966604, 0.319, 1.017, 1.513
 341166604, 0.343, 1.015, 1.51
