TimeUS,gprLat,gprLng,gprAlt,gprN,gprE,gprD
 136388756, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136391255, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136393754, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136396253, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136398752, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136401251, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136403750, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136406249, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136408748, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136411247, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136413746, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136416245, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136418744, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136421243, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136423742, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136426241, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136428740, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136431239, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136433738, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136436237, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136438736, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136441235, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136443734, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136446233, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136448732, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136451231, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136453730, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136456229, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136458728, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136461227, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136463726, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136466225, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136468724, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136471223, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136473722, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136476221, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136478720, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136481219, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136483718, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136486217, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
