TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 175771197, 1.058076, 0.9985777, 0.1980257, 0.2575241, 0.2134004, -0.2043304, 0.0984202, 0.06879524
PSCN, 175871089, 1.076526, 1.015088, 0.1719622, 0.2333994, 0.2065863, -0.1176992, 0.1930197, 0.1276595
PSCN, 175971085, 1.092562, 1.030043, 0.1503424, 0.2128608, 0.138971, -0.05186858, 0.2761198, 0.183281
PSCN, 176071257, 1.106752, 1.03829, 0.1346478, 0.2031099, 0.1052011, -0.04302185, 0.3574042, 0.2672754
PSCN, 176171131, 1.119586, 1.045248, 0.1229369, 0.1972756, 0.1319425, 0.02204921, 0.3599377, 0.3210699
PSCN, 176271114, 1.131451, 1.052659, 0.1151353, 0.1939276, 0.07467369, 0.04182853, 0.457413, 0.3627377
PSCN, 176371213, 1.142729, 1.060944, 0.1111123, 0.1928969, 0.1048801, 0.05429491, 0.4293545, 0.4033157
PSCN, 176471174, 1.153752, 1.070381, 0.1096996, 0.1930707, 0.06618707, 0.05228843, 0.5008136, 0.4319757
PSCN, 176571118, 1.164729, 1.081643, 0.1102282, 0.1933141, 0.09690893, 0.08377923, 0.4049378, 0.4287776
PSCN, 176671069, 1.175889, 1.094533, 0.1133398, 0.1946958, 0.1208964, 0.1139637, 0.3946601, 0.4105704
PSCN, 176771101, 1.187483, 1.108805, 0.118666, 0.1973438, 0.1320661, 0.1118784, 0.4254779, 0.4229602
PSCN, 176871164, 1.199651, 1.124479, 0.1244494, 0.1996208, 0.1726606, 0.08208878, 0.4137679, 0.4440628
