TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 248836562, 1.227088, 1.227088, 0.007267031, 0.007267031, 0.007267031, 0, 1.025844E-05, 1.025844E-05
PSCN, 248936570, 1.225785, 1.225785, -0.009000701, -0.009000701, -0.009000701, 0, 1.031043E-05, 1.031043E-05
PSCN, 249036640, 1.224684, 1.224684, -0.00498795, -0.00498795, -0.00498795, 0, 1.027097E-05, 1.027097E-05
PSCN, 249136465, 1.22313, 1.22313, -0.02022023, -0.02022023, -0.02022023, 0, 1.03366E-05, 1.03366E-05
PSCN, 249236563, 1.220753, 1.220753, 0.01271234, 0.01271234, 0.01271234, 0, 1.030141E-05, 1.030141E-05
PSCN, 249336584, 1.219557, 1.219557, 0.01060175, 0.01060175, 0.01060175, 0, 1.027209E-05, 1.027209E-05
PSCN, 249436591, 1.219434, 1.219434, 0.003184358, 0.003184358, 0.003184358, 0, 1.032524E-05, 1.032524E-05
PSCN, 249536568, 1.21869, 1.21869, 0.006604731, 0.006604731, 0.006604731, 0, 1.030769E-05, 1.030769E-05
PSCN, 249736619, 1.215838, 1.215838, -0.009462051, -0.009462051, -0.009462051, 0, 1.032992E-05, 1.032992E-05
PSCN, 249836749, 1.213388, 1.213388, -0.02072279, -0.02072279, -0.02072279, 0, 1.035718E-05, 1.035718E-05
PSCN, 249936660, 1.210676, 1.210676, -0.001478132, -0.001478132, -0.001478132, 0, 1.036119E-05, 1.036119E-05
PSCN, 250036594, 1.206992, 1.206992, 0.01337676, 0.01337676, 0.01337676, 0, 1.0266E-05, 1.0266E-05
PSCN, 250136670, 1.204103, 1.204103, 0.007952928, 0.007952928, 0.007952928, 0, 1.029842E-05, 1.029842E-05
PSCN, 250236652, 1.202201, 1.202201, -0.003173267, -0.003173267, -0.003173267, 0, 1.033535E-05, 1.033535E-05
PSCN, 250336680, 1.200108, 1.200108, -0.0009230117, -0.0009230117, -0.0009230117, 0, 1.034969E-05, 1.034969E-05
PSCN, 250436566, 1.197059, 1.197059, 0.0006807857, 0.0006807857, 0.0006807857, 0, 1.035875E-05, 1.035875E-05
PSCN, 250536507, 1.194563, 1.194563, -0.002245283, -0.002245283, -0.002245283, 0, 1.036918E-05, 1.036918E-05
PSCN, 250636675, 1.192701, 1.192701, -0.01090439, -0.01090439, -0.01090439, 0, 1.040414E-05, 1.040414E-05
