TimeUS,gpSA,gpHA,gpVA
 164175766, 0.285, 1.136, 1.573
 164375998, 0.318, 1.136, 1.574
 164575780, 0.294, 1.135, 1.575
 164775788, 0.331, 1.135, 1.577
 164996041, 0.282, 1.134, 1.578
 165175787, 0.278, 1.133, 1.578
 165375791, 0.316, 1.132, 1.577
 165575780, 0.336, 1.131, 1.576
 165796141, 0.264, 1.131, 1.574
 165996107, 0.339, 1.13, 1.573
 166175772, 0.313, 1.13, 1.572
 166376037, 0.355, 1.129, 1.571
 166575781, 0.354, 1.128, 1.57
 166775805, 0.215, 1.127, 1.569
 166996116, 0.251, 1.127, 1.568
 167196148, 0.377, 1.128, 1.569
 167396244, 0.38, 1.129, 1.571
 167596116, 0.286, 1.131, 1.573
 167796148, 0.3, 1.132, 1.575
 167996100, 0.33, 1.134, 1.578
 168196108, 0.345, 1.136, 1.582
 168375799, 0.362, 1.138, 1.585
 168596136, 0.364, 1.14, 1.59
 168796132, 0.367, 1.143, 1.593
 168996253, 0.38, 1.145, 1.595
 169196284, 0.36, 1.147, 1.598
 169396114, 0.305, 1.148, 1.599
 169596118, 0.318, 1.149, 1.601
 169796188, 0.323, 1.15, 1.604
 169996121, 0.276, 1.152, 1.606
 170196116, 0.372, 1.153, 1.609
 170396140, 0.35, 1.155, 1.612
 170596115, 0.367, 1.156, 1.614
 170796077, 0.288, 1.157, 1.617
 170975792, 0.339, 1.158, 1.619
 171196145, 0.33, 1.159, 1.622
 171396112, 0.287, 1.16, 1.624
 171596117, 0.317, 1.161, 1.627
 171796178, 0.349, 1.162, 1.629
 171996119, 0.361, 1.164, 1.632
 172196113, 0.336, 1.165, 1.635
 172375785, 0.33, 1.166, 1.638
 172596130, 0.312, 1.167, 1.641
 172796286, 0.277, 1.168, 1.644
 172996125, 0.354, 1.169, 1.647
 173196226, 0.35, 1.17, 1.651
 173375812, 0.313, 1.169, 1.654
 173575822, 0.32, 1.169, 1.656
 173775805, 0.288, 1.169, 1.659
 173996122, 0.343, 1.171, 1.663
 174196051, 0.343, 1.173, 1.666
 174396165, 0.349, 1.175, 1.669
 174596282, 0.378, 1.177, 1.672
 174796133, 0.316, 1.178, 1.675
 174975778, 0.315, 1.179, 1.678
 175196234, 0.356, 1.181, 1.681
 175396122, 0.365, 1.182, 1.683
 175596127, 0.33, 1.182, 1.685
 175796138, 0.3, 1.181, 1.685
 175996135, 0.321, 1.18, 1.685
 176196117, 0.292, 1.179, 1.684
 176396317, 0.33, 1.178, 1.682
 176596125, 0.308, 1.179, 1.682
 176796149, 0.313, 1.179, 1.684
 176996154, 0.362, 1.181, 1.686
 177196129, 0.308, 1.181, 1.688
 177396229, 0.328, 1.182, 1.69
 177575764, 0.341, 1.182, 1.692
 177796058, 0.369, 1.183, 1.694
 177996122, 0.343, 1.185, 1.697
 178196235, 0.377, 1.186, 1.699
 178396170, 0.345, 1.186, 1.701
 178596133, 0.295, 1.187, 1.702
 178796053, 0.35, 1.188, 1.704
 178996153, 0.371, 1.189, 1.707
 179196122, 0.372, 1.19, 1.709
 179396239, 0.366, 1.191, 1.711
 179596119, 0.391, 1.19, 1.71
 179796155, 0.325, 1.19, 1.709
 179996275, 0.328, 1.19, 1.708
 180196097, 0.216, 1.189, 1.707
 180396119, 0.287, 1.188, 1.706
 180596123, 0.252, 1.188, 1.706
 180796129, 0.379, 1.187, 1.705
 180996146, 0.272, 1.187, 1.705
 181196114, 0.385, 1.188, 1.705
 181396116, 0.377, 1.188, 1.705
 181596324, 0.348, 1.189, 1.705
 181796282, 0.328, 1.189, 1.705
 181996108, 0.323, 1.189, 1.705
 182196115, 0.261, 1.189, 1.705
 182375784, 0.301, 1.189, 1.706
 182575789, 0.307, 1.189, 1.706
 182775817, 0.29, 1.189, 1.707
 182975796, 0.313, 1.19, 1.708
 183176005, 0.407, 1.191, 1.708
 183375803, 0.405, 1.192, 1.708
 183575791, 0.333, 1.193, 1.708
 183776027, 0.291, 1.194, 1.708
 183975779, 0.391, 1.195, 1.708
 184175784, 0.368, 1.196, 1.709
 184375816, 0.382, 1.197, 1.709
 184575776, 0.355, 1.199, 1.709
 184775810, 0.274, 1.199, 1.709
 184996111, 0.332, 1.2, 1.71
 185175781, 0.247, 1.201, 1.713
 185376028, 0.308, 1.203, 1.716
 185596181, 0.31, 1.206, 1.721
 185796261, 0.396, 1.209, 1.725
 185996119, 0.387, 1.212, 1.731
 186196149, 0.298, 1.215, 1.734
 186396133, 0.29, 1.216, 1.737
 186596133, 0.266, 1.217, 1.739
 186796134, 0.253, 1.218, 1.74
 186996116, 0.286, 1.219, 1.742
 187196232, 0.275, 1.22, 1.745
 187396107, 0.301, 1.22, 1.748
 187596132, 0.28, 1.22, 1.751
 187796257, 0.356, 1.221, 1.753
 187975785, 0.318, 1.221, 1.756
 188196149, 0.334, 1.221, 1.758
 188396115, 0.37, 1.221, 1.759
 188596125, 0.238, 1.221, 1.759
 188796180, 0.358, 1.221, 1.759
 188996240, 0.3, 1.222, 1.76
 189176012, 0.349, 1.223, 1.76
 189396114, 0.244, 1.224, 1.759
 189596136, 0.346, 1.225, 1.759
 189796146, 0.312, 1.225, 1.759
 189996239, 0.302, 1.225, 1.759
 190196165, 0.29, 1.225, 1.759
 190396045, 0.213, 1.224, 1.759
 190596143, 0.251, 1.224, 1.759
 190775818, 0.257, 1.223, 1.759
 190976016, 0.343, 1.224, 1.761
 191175786, 0.278, 1.225, 1.762
 191375806, 0.372, 1.225, 1.764
 191575991, 0.242, 1.226, 1.766
 191775803, 0.343, 1.226, 1.769
 191975785, 0.38, 1.227, 1.772
 192196155, 0.283, 1.227, 1.774
 192396121, 0.324, 1.225, 1.774
 192596280, 0.241, 1.225, 1.775
 192796184, 0.264, 1.225, 1.776
