TimeUS,gprLat,gprLng,gprAlt,gprGC,gpGC,gprN,gprE,gprD
 49974169, -353627506, 1491650534, -1079455340, 353.9586, 353.9586, 12.814, -1.356, 0.32
 49994161, -353627506, 1491650534, -1079361838, 353.9586, 353.9586, 12.814, -1.356, 0.32
 50014153, -353627506, 1491650534, -1079249997, 353.9586, 353.9586, 12.814, -1.356, 0.32
 50034145, -353626700, 1491650571, -1079165499, 353.9491, 353.9491, 13.79, -1.461, 0.28
 50054137, -353626700, 1491650571, -1078972093, 353.9491, 353.9491, 13.79, -1.461, 0.28
 50074129, -353626700, 1491650571, -1078791660, 353.9491, 353.9491, 13.79, -1.461, 0.28
 50094121, -353626700, 1491650571, -1078616680, 353.9491, 353.9491, 13.79, -1.461, 0.28
 50114113, -353626700, 1491650571, -1078432652, 353.9491, 353.9491, 13.79, -1.461, 0.28
 50134105, -353626700, 1491650571, -1078257977, 353.9491, 353.9491, 13.79, -1.461, 0.28
 50154097, -353626700, 1491650571, -1078087401, 353.9491, 353.9491, 13.79, -1.461, 0.28
 50174089, -353626700, 1491650571, -1077909749, 353.9491, 353.9491, 13.79, -1.461, 0.28
 50194081, -353626700, 1491650571, -1077748977, 353.9491, 353.9491, 13.79, -1.461, 0.28
 50214073, -353626700, 1491650571, -1077597673, 353.9491, 353.9491, 13.79, -1.461, 0.28
 50234065, -353626401, 1491650454, -1077469343, 353.8795, 353.8795, 15.494, -1.661, -2.044
 50254057, -353626401, 1491650454, -1077339576, 353.8795, 353.8795, 15.494, -1.661, -2.044
 50274049, -353626401, 1491650454, -1077214155, 353.8795, 353.8795, 15.494, -1.661, -2.044
 50294041, -353626401, 1491650454, -1077102606, 353.8795, 353.8795, 15.494, -1.661, -2.044
 50314033, -353626401, 1491650454, -1076905572, 353.8795, 353.8795, 15.494, -1.661, -2.044
 50334025, -353626401, 1491650454, -1076826817, 353.8795, 353.8795, 15.494, -1.661, -2.044
 50354017, -353626401, 1491650454, -1076777164, 353.8795, 353.8795, 15.494, -1.661, -2.044
